index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.498,-1378,-0.5900,347605
2,1.003,-2072,-0.8871,346911
3,1.503,-3800,-1.6268,345183
4,2.004,291,0.1244,349274
5,2.504,-1511,-0.6470,347472
6,3.009,876,0.3749,349859
7,3.509,907,0.3881,349890
8,4.009,813,0.3479,349796
9,4.509,777,0.3325,349760
