metric,test1,test2,test3,average
peak_value,-1820.3,-1847.3,-3800.3,-2489.3
peak_time_s,2.685,2.891,1.503,2.360

label,Simple_Angled_Stalk_45_forward
friction_offset,348983.3
counts_per_newton,2336.0
