index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.413,-291,-0.1247,348692
2,0.912,-644,-0.2758,348339
3,1.417,-900,-0.3854,348083
4,1.918,228,0.0975,349211
5,2.417,-1157,-0.4954,347826
6,2.918,515,0.2203,349498
7,3.423,762,0.3261,349745
8,3.923,645,0.2760,349628
9,4.423,643,0.2751,349626
10,4.923,562,0.2405,349545
11,5.428,-44,-0.0190,348939
12,5.928,-157,-0.0673,348826
13,6.428,-228,-0.0977,348755
14,6.927,-196,-0.0840,348787
15,7.433,93,0.0397,349076
