index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.146,1830.0,0.7833,350813.0
2,0.651,-536.0,-0.2296,348447.0
3,1.151,-1007.0,-0.4312,347976.0
4,1.651,-1916.0,-0.8203,347067.0
5,2.151,-668.0,-0.2861,348315.0
6,2.656,-99.0,-0.0425,348884.0
7,3.156,106.0,0.0452,349089.0
