index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.498,-309,-0.1324,348674
2,0.998,-438,-0.1876,348545
3,1.498,-6,-0.0027,348977
4,2.003,23,0.0097,349006
5,2.503,150,0.0641,349133
6,3.003,794,0.3398,349777
7,3.503,758,0.3244,349741
