index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.297,-693,-0.2969,348290
2,0.796,-922,-0.3949,348061
3,1.302,-1248,-0.5342,347735
4,1.801,-1360,-0.5821,347623
5,2.301,-647,-0.2768,348336
6,2.801,-606,-0.2594,348377
7,3.306,529,0.2264,349512
8,3.806,614,0.2630,349597
9,4.306,543,0.2324,349526
