index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.398,218,0.0932,349201
2,0.898,477,0.2041,349460
3,1.398,60,0.0256,349043
4,1.898,-78,-0.0335,348905
5,2.403,7502,3.2113,356485
6,2.903,1046,0.4476,350029
