index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.444,-906,-0.3880,348077
2,0.949,-745,-0.3191,348238
3,1.449,-127,-0.0545,348856
4,1.949,-466,-0.1996,348517
5,2.449,-1527,-0.6538,347456
