metric,test1,test2,test3,average
peak_value,-1527.3,-1916.3,-1883.3,-1775.6
peak_time_s,2.449,1.651,1.960,2.020

label,Simple_Lewis_45_reverse
friction_offset,348983.3
counts_per_newton,2336.0
