index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.459,2091,0.8950,351074
2,0.959,617,0.2640,349600
3,1.458,-51,-0.0220,348932
4,1.964,253,0.1082,349236
5,2.464,5,0.0020,348988
6,2.964,2418,1.0350,351401
7,3.463,296,0.1266,349279
8,3.968,-1817,-0.7780,347166
9,4.468,630,0.2696,349613
10,4.968,849,0.3633,349832
11,5.469,988,0.4228,349971
