index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.361,-163,-0.0699,348820
2,0.866,-77,-0.0331,348906
3,1.366,-135,-0.0579,348848
4,1.866,-321,-0.1375,348662
5,2.366,-94,-0.0404,348889
6,2.871,740,0.3166,349723
7,3.371,-1202,-0.5147,347781
8,3.871,1401,0.5996,350384
9,4.371,1261,0.5397,350244
10,4.875,961,0.4113,349944
11,5.375,443,0.1895,349426
