metric,test1,test2,test3,average
peak_value,-1746.3,-664.3,-1258.3,-1223.0
peak_time_s,3.135,1.943,0.217,1.765

label,Simple_45_reverse
friction_offset,348983.3
counts_per_newton,2336.0
