metric,test1,test2,test3,average
peak_value,2418.0,2179,2268.0,2288.3
peak_time_s,2.964,0.268,0.292,1.175

label,Staggered_Non_Curved_45_forward_set2
friction_offset,348983.3
counts_per_newton,2336.0
