index,time_s,value,newtons,raw_value
# friction_offset=348983.3  counts_per_newton=2336.0
1,0.292,2268.0,0.9708,351251.0
2,0.792,319.0,0.1364,349302.0
3,1.292,213.0,0.0910,349196.0
4,1.792,46.0,0.0196,349029.0
5,2.297,-1064.0,-0.4556,347919.0
6,2.797,-1684.0,-0.7210,347299.0
7,3.297,590.0,0.2524,349573.0
8,3.797,-761.0,-0.3259,348222.0
